word	word_meaning	word_pinyin	sentence	sentence_pinyin	sentence_meaning
			保持冷靜。		Stay calm.
			趴着！		Stay down!
			待在家裡。		Stay home.
			住手。		Stop that!
			照顾好自己。		Take care!
			保重。		Take care.
			拿我的。		Take mine.
			谢谢。		Thank you.
			他们离开了。		They left.
			时间到了。		Time's up.
			汤姆睡了。		Tom slept.
			汤姆挥手了。		Tom waved.
			再試一次。		Try again.
			再试一下。		Try again.
			向左转。		Turn left.
			在这等着。		Wait here.
			爱谁谁。		Who cares?
			谁知道？		Who knows?
			汤姆是谁？		Who's Tom?
			她是谁？		Who's she?
			做更多工作。		Work more.
			蠢货！		You idiot!
			你身上发臭了。		You stink.
			请上船！		All aboard!
			要守时！		Be on time.
			開始工作。		Begin work.
			必须的！		Definitely!
			别动！		Don't move!
			不要动。		Don't move.
			不要等待！		Don't wait.
			跟著他走。		Follow him.
			去洗洗吧。		Go wash up.
			上帝存在。		God exists.
			有信念。		Have faith.
			他很凶。		He is mean.
			他很穷。		He is poor.
			他高。		He is tall.
			他笑了。		He laughed.
			你好，汤姆。		Hello, Tom.
			嘿，放松点。		Hey, relax.
			工作怎么样？		How's work?
			赶快回家。		Hurry home.
			我个头矮。		I am short.
			我会做饭。		I can cook.
			我不能走。		I can't go.
			我走不了。		I can't go.
			我嚼口香糖。		I chew gum.
			我在這裡吃。		I eat here.
			我嫉妒她。		I envy her.
			我羡慕他。		I envy him.
			我恨你。		I hate you.
			我聽到了。		I heard it.
			我认识汤姆。		I know Tom.
			我認識他。		I know him.
			我喜欢茶。		I like tea.
			我喜欢你。		I like you.
			我喜欢你！		I like you.
			我爱您。		I love you.
			我想念他。		I miss him.
			我想你。		I miss you.
			我想念你。		I miss you.
			我需要你。		I need you.
			我答应了。		I promised.
			我使用这个。		I use this.
			我想要你。		I want you.
			我是个女人。		I'm a lady.
			我是位女士。		I'm a lady.
			我是个骗子。		I'm a liar.
			我买了。		I'm buying.
			我来啦。		I'm coming.
			我正在吃东西。		I'm eating.
			我更快。		I'm faster.
			我单身。		I'm single.
			我困了。		I'm sleepy.
			睏了。		I'm sleepy.
			我好胖哦。		I'm so fat.
			我十二岁了。		I'm twelve.
			别理汤姆。		Ignore Tom.
			他长得高吗？		Is he tall?
			是真的吗？		Is it true?
			真是太好了。		It's great.
			是綠色。		It's green.
			是晚上了。		It's night.
			不对。		It's wrong.
			放松点吧。		Just relax.
			保持安静！		Keep quiet!
			让他进来。		Let him in.
			让我去死。		Let me die.
			让我想一想。		Let me see.
			让我试试。		Let me try.
			让我来。		Let me try.
			让我们玩耍吧。		Let's play.
			让我们开始祈祷吧。		Let's pray.
			我们走走吧。		Let's walk.
			看那里。		Look there.
			无可奉告。		No comment.
			没问题！		No problem!
			没问题。		No problem.
			没事。		No problem.
			再一次。		Once again.
			请用座。		Please sit.
			荒唐！		Ridiculous!
			她笑了。		She smiled.
			往后站！		Stand back!
			保持警惕。		Stay sharp.
			别动。		Stay still.
			留在这里别动。		Stay there.
			让开。		Step aside.
			快一點！		Step on it!
			好好学习。		Study hard.
			真疼。		That hurts.
			奇怪。		That's odd.
			那是湿的。		That's wet.
			汤姆失败了。		Tom failed.
			汤姆生病了。		Tom is ill.
			汤姆病了。		Tom is ill.
			汤姆害羞。		Tom is shy.
			汤姆笑了。		Tom smiled.
			汤姆打哈欠了。		Tom yawned.
			向右转。		Turn right.
			我们笑了。		We laughed.
			我们失去了它。		We lost it.
			我们会做饭的。		We'll cook.
			它是什么？		What is it?
			有什么新鲜事吗？		What's new?
			我在哪裡？		Where am I?
			下一个是谁？		Who's next?
			这是谁啊？		Who's that?
			木材可燃。		Wood burns.
			您可以走了。		You can go.
			你可以去了。		You can go.
			我们完成了吗？		Are we done?
			你是汤姆吗？		Are you Tom?
			您生气了吗？		Are you mad?
			你生气了吗？		Are you mad?
			你是新来的吗？		Are you new?
			你在难过吗？		Are you sad?
			停手！		Break it up!
			我可以开始了吗？		Can I begin?
			你能看吗？		Can you see?
			汤姆赢了吗？		Did Tom win?
			按我說的做。		Do as I say.
			别笑！		Don't laugh.
			不要恐慌！		Don't panic!
			不许大叫。		Don't shout.
			不要微笑。		Don't smile.
			你不要着急。		Don't worry.
			穿衣服。		Get dressed.
			认真点。		Get serious.
			開始。		Get started.
			请看一看。		Have a look.
			这里，快抓住。		Here, catch!
			生活怎么样？		How is life?
			我也去了。		I also went.
			我上网了。		I am online.
			我不能说。		I can't say.
			我吃面包。		I eat bread.
			我觉得冷。		I feel cold.
			我感觉很好。		I feel fine.
			我有点恶心。		I feel sick.
			我感到虚弱。		I feel weak.
			我讨厌鱼。		I hate fish.
			我讨厌酒。		I hate wine.
			我有消息。		I have news.
			我有时间。		I have time.
			我有酒。		I have wine.
			我聽你的。		I heard you.
			我喜欢蓝色。		I like blue.
			我喜欢鱼。		I like fish.
			我喜欢他们。		I like them.
			我喜欢葡萄酒。		I like wine.
			我住在這。		I live here.
			我住在这里。		I live here.
			我需要胶水。		I need glue.
			我需要帮助。		I need help.
			我睡过头了。		I overslept.
			我睡過頭了。		I overslept.
			我读唇语。		I read lips.
			我聞到瓦斯味。		I smell gas.
			我信赖他。		I trust him.
			我信任他。		I trust him.
			我信任你。		I trust you.
			我想要更多。		I want more.
			我茕茕孑立，形影相吊。		I was alone.
			我搞错了。		I was wrong.
			我想错了。		I was wrong.
			我会听从指示。		I will obey.
			我在這裡工作。		I work here.
			我在家。		I'm at home.
			我很好奇。		I'm curious.
			我身体很好。		I'm healthy.
			我受伤了。		I'm injured.
			我开玩笑。		I'm kidding.
			我结婚了。		I'm married.
			我已婚。		I'm married.
			我在祈禱。		I'm praying.
			我在读书。		I'm reading.
			我很放松。		I'm relaxed.
			我是認真的。		I'm serious.
			我渴了。		I'm thirsty.
			汤姆在家里吗？		Is Tom home?
			汤姆受伤了吗？		Is Tom hurt?
			汤姆是不是身体不太好？		Is Tom sick?
			汤姆还好吧？		Is Tom well?
			他对吗？		Is he right?
			这是你的吗？		Is it yours?
			这不可能！		It can't be!
			这是一个伪造品。		It's a fake.
			春天了		It's spring.
			只要說不。		Just say no.
			继续努力。		Keep trying.
			讓我知道。		Let me know.
			我们开始吧。		Let's start.
			人生是有趣的。		Life is fun.
			四处看看。		Look around.
			午餐送到了。		Lunch is on.
			列一个列表。		Make a list.
			非常感谢！		Many thanks.
			金钱万能。		Money talks.
			好时机。		Nice timing.
			没有人来了。		No one came.
			行，你赢了。		OK, you win.
			好吧，你赢了。		OK, you win.
			好。我同意。		OK. I agree.
			请来吧。		Please come.
			请唱歌。		Please sing.
			放开他。		Release him.
			她咬了他。		She bit him.
			她打了他。		She hit him.
			一边站着。		Stand aside.
			這就是生活。		That's life.
			人生就是如此。		That's life.
			那是我的。		That's mine.
			那很棒。		That's neat.
			这很软。		That's soft.
			那是豆腐。		That's tofu.
			他们拥抱。		They hugged.
			他们亲吻了。		They kissed.
			汤姆脸红了。		Tom blushed.
			汤姆胖了。		Tom got fat.
			汤姆变胖了。		Tom got fat.
			汤姆打了个招呼。		Tom said hi.
			汤姆醉了。		Tom's drunk.
			转过来。		Turn around.
			把它关掉。		Turn it off.
			等等我。		Wait for me.
			我错了吗？		Was I wrong?
			我们可以休息。		We can rest.
			我们喜欢你们。		We like you.
			我们想要汤姆。		We want Tom.
			这游戏太棒了！		What a game!
			烦死人。		What a pain!
			太可惜了！		What a pity!
			多遗憾啊！		What a pity!
			真是太可惜了！		What a pity!
			那是什么？		What's that?
			這是什麼啊？		What's this?
			汤姆在哪儿？		Where's Tom?
			你是谁？		Who are you?
			你是誰？		Who are you?
			那是谁？		Who is that?
			誰要死了？		Who's dying?
			这是谁的？		Whose is it?
			木头会漂浮。		Wood floats.
			干活慢点。		Work slowly.
			是的，我知道。		Yes, I know.
			你作弊了。		You cheated.
			你做到了。		You made it.
			你很愚蠢。		You're dumb.
			你在这里。		You're here.
			你是我的。		You're mine.
			你是安全的。		You're safe.
			你有病！		You're sick!
			您在忙吗？		Are you busy?
			您迷路了吗？		Are you lost?
			你迷路了吗？		Are you lost?
			你不要命啦！		Are you nuts?
			你没事吧？		Are you okay?
			你确定吗？		Are you sure?
			现实点！		Be realistic!
			带他进来。		Bring him in.
			现在给汤姆打电话。		Call Tom now.
			您会唱歌吗？		Can you sing?
			和我们一起来吧。		Come with us.
			你抽不抽烟？		Do you smoke?
			您吸烟吗？		Do you smoke?
			别伤心。		Don't be sad.
			不要害羞。		Don't be shy.
			不用麻烦了。		Don't bother.
			别来烦我。		Don't bug me.
			不要东拉西扯。		Don't ramble.
			安全地駕駛。		Drive safely.
			开车慢点。		Drive slowly.
			调查下这个。		Examine this.
			鬼魂是存在的。		Ghosts exist.
			还回去		Give it back.
			晚上好。		Good evening.
			晚上好！		Good evening.
			早上好！		Good morning.
			他生气了。		He got angry.
			他有辆车。		He has a car.
			他丢脸了。		He lost face.
			他很勇敢。		He was brave.
			他现在出去了。		He's out now.
			真烦人。		How annoying!
			真糟糕！		How horrible!
			学校怎么样？		How's school?
			我欣赏你。		I admire you.
			我几乎赢了。		I almost won.
			我是华人。		I am Chinese.
			我吃苹果了。		I ate apples.
			我吃了蘋果。		I ate apples.
			我不能留下。		I can't stay.
			我也哭了。		I cried, too.
			我无所谓。		I don't care.
			我怕死。		I fear death.
			我被抢劫了。		I got mugged.
			我處理了。		I handled it.
			我有一辆车。		I have a car.
			我有一头母牛。		I have a cow.
			我有一条狗。		I have a dog.
			我有钱。		I have money.
			我该走了。		I have to go.
			我喜欢豆子。		I like beans.
			我爱音乐。		I love music.
			我需要錢。		I need money.
			我明白了。		I understand.
			我懂。		I understand.
			我要箱子。		I want a box.
			我想要一隻狗。		I want a dog.
			我想要个抱抱。		I want a hug.
			我要告你。		I'll sue you.
			我是跑堂。		I'm a waiter.
			我是服务员。		I'm a waiter.
			我是服务生。		I'm a waiter.
			我洗耳恭聽。		I'm all ears.
			我在流血。		I'm bleeding.
			我有糖尿病。		I'm diabetic.
			我肚子饿极了。		I'm famished.
			已经没事了。		I'm fine now.
			我现在有空了。		I'm free now.
			我冻死了。		I'm freezing.
			我是清白的。		I'm innocent.
			我没在忙。		I'm not busy.
			我不懒。		I'm not lazy.
			我没生病。		I'm not sick.
			我不确定。		I'm not sure.
			我身体不适。		I'm not well.
			我怀孕了。		I'm pregnant.
			我改过自新了。		I'm reformed.
			我好高興。		I'm so happy.
			我太高兴了。		I'm so happy.
			我好累。		I'm so tired!
			我好累啊。		I'm so tired!
			我是最好的。		I'm the best.
			我最棒。		I'm the best.
			这是我的错。		I'm to blame.
			我見過。		I've seen it.
			想法很重要。		Ideas matter.
			周一可以吗？		Is Monday OK?
			汤姆喝醉了吗？		Is Tom drunk?
			汤姆在吗？		Is Tom there?
			这是不是豆腐？		Is this tofu?
			太神奇了。		It's amazing.
			睡觉时间到了。		It's bedtime.
			很明顯。		It's obvious.
			下雨了。		It's raining.
			在下雨。		It's raining.
			正在下雪。		It's snowing.
			太难了。		It's so hard.
			它太大了。		It's too big.
			繼續看！		Keep looking.
			继续看。		Keep reading.
			保持微笑。		Keep smiling.
			繼續工作！		Keep working.
			讓我想一想。		Let me think.
			我们现在去吧。		Let's go now.
			仔細看		Look closely.
			我现在能去了吗？		May I go now?
			轻轻地移动。		Move quietly.
			我的眼睛痛。		My eyes hurt.
			谁也不知道。		No one knows.
			没人问过。		Nobody asked.
			打開箱子。		Open the box.
			请抓紧时间。		Please hurry.
			請你離開。		Please leave.
			请笑一笑！		Please smile.
			一会儿见！		See you soon!
			你真丢脸！		Shame on you!
			她很安静。		She is quiet.
			她心情不好。		She is upset.
			她认识我。		She knows me.
			有人来了。		Someone came.
			你说话小点声。		Speak softly.
			和我们留在一起吧！		Stay with us.
			别再傻看着。		Stop gawking.
			别再念了。		Stop reading.
			别再盯着了。		Stop staring.
			不要说话了。		Stop talking.
			别再埋怨了。		Stop whining.
			别再喊叫了！		Stop yelling!
			祝你好梦。		Sweet dreams!
			放輕鬆。		Take it easy.
			带我回家。		Take me home.
			那真是太好了。		That's great.
			它们是假的。		They're fake.
			他们是孩子。		They're kids.
			她们是孩子。		They're kids.
			这是我的。		This is mine.
			这很棒。		This is neat.
			这是豆腐。		This is tofu.
			汤姆能走路。		Tom can walk.
			汤姆跟着。		Tom followed.
			汤姆瞎了。		Tom is blind.
			汤姆脑子好使。		Tom is smart.
			汤姆刚吃完饭。		Tom just ate.
			汤姆坐下了。		Tom sat down.
			汤姆告诉了他。		Tom told him.
			汤姆不见了。		Tom vanished.
			汤姆饱了。		Tom was full.
			汤姆很孤独。		Tom's lonely.
			汤姆今年三十岁。		Tom's thirty.
			汤姆，快起来！		Tom, wake up.
			誰也不要相信。		Trust no one.
			难以置信！		Unbelievable!
			走著瞧		Wait and see.
			我们睡过头了。		We overslept.
			我们成功了。		We succeeded.
			我们已是成年人了。		We're adults.
			我们在藏着。		We're hiding.
			我们是人。		We're humans.
			欢迎回来。		Welcome back.
			欢迎回家。		Welcome home.
			那是什么啊？		What is that?
			这是谁建的？		Who built it?
			谁想要它？		Who wants it?
			谁来了这里？		Who was here?
			多少年过去了。		Years passed.
			你很好。		You are good.
			你喝醉了！		You're drunk.
			你在撒谎。		You're lying.
			你很聰明。		You're sharp.
			还有别的吗？		Anything else?
			你开心吗？		Are you happy?
			您准备好了吗？		Are you ready?
			你们准备好了吗？		Are you ready?
			你准备好了吗？		Are you ready?
			你在吗？		Are you there?
			再问一下汤姆吧。		Ask Tom again.
			叫保安来！		Call security!
			可以给我吗？		Can I have it?
			您会开车吗？		Can you drive?
			你会溜冰吗？		Can you skate?
			猫咪很可爱。		Cats are cute.
			汤姆有回应了吗？		Did Tom reply?
			我认识你吗？		Do I know you?
			懂么？		Do you get it?
			不要失礼。		Don't be rude.
			不要恨我。		Don't hate me.
			不要管我。		Don't mind me.
			不要告诉我。		Don't tell me.
			画一个圈。		Draw a circle.
			快點穿。		Dress quickly.
			吃吧，喝吧。		Eat and drink.
			鮮花盛開。		Flowers bloom.
			他挖了一个洞。		He dug a hole.
			他着凉了。		He has a cold.
			这是一个小偷。		He is a thief.
			他在家裡。		He is at home.
			他不是傻子。		He is no fool.
			他对我撒谎。		He lied to me.
			他賣車子。		He sells cars.
			他走路很快。		He walks fast.
			他想要更多。		He wants more.
			他哭了。		He was crying.
			他是美国人。		He's American.
			他不在家。		He's not home.
			大家好！		Hi, everybody.
			您呢？		How about you?
			多美啊！		How beautiful!
			我是日本人。		I am Japanese.
			我离婚了。		I am divorced.
			我打喷嚏了。		I am sneezing.
			我相信你。		I believe you.
			我开车来的。		I came by car.
			我感觉得到它。		I can feel it.
			我听得到。		I can hear it.
			我看得见汤姆。		I can see Tom.
			我做不到。		I can't do it.
			我鄙视你。		I despise you.
			我做得好到不能再好了。		I did my best.
			我没通过。		I didn't pass.
			我不抽烟。		I don't smoke.
			我餵過狗了。		I fed the dog.
			我觉得很孤独。		I feel lonely.
			我感觉不舒服。		I feel unwell.
			我是免費得到的。		I got it free.
			我讨厌法语。		I hate French.
			我恨冬天。		I hate winter.
			我讨厌冬天。		I hate winter.
			我有一艘小船。		I have a boat.
			我感冒了。		I have a cold.
			我有一个家。		I have a home.
			我有一只蛋。		I have an egg.
			我有哮喘。		I have asthma.
			我有癌症。		I have cancer.
			我必须赢。		I have to win.
			我刚才起床了。		I just got up.
			我喜欢跑步。		I like to run.
			我丢了我的钥匙。		I lost my key.
			我钥匙丢了。		I lost my key.
			我爱法语。		I love French.
			我想念波士頓。		I miss Boston.
			我需要些建议。		I need advice.
			我需要尝试。		I need to try.
			我想我可以。		I think I can.
			我使用火狐浏览器。		I use Firefox.
			我使用火狐。		I use Firefox.
			我想要一艘船。		I want a boat.
			我想要本书。		I want a book.
			我想哭。		I want to cry.
			我想死		I want to die.
			我刚才在家。		I was at home.
			我很冷。		I was so cold.
			我会打电话给你。		I'll call you.
			我是汤姆的父亲。		I'm Tom's dad.
			我是汤姆的爸爸。		I'm Tom's dad.
			我是个学生。		I'm a student.
			我累死了。		I'm exhausted.
			困死了。		I'm exhausted.
			我很疲惫。		I'm exhausted.
			我也在这里。		I'm here, too.
			我回来了，妈！		I'm home, Mom!
			我是个急性子。		I'm impatient.
			我在節食。		I'm on a diet.
			我这就上路。		I'm on my way.
			我好孤单。		I'm so lonely.
			我真蠢。		I'm so stupid.
			我还是很气。		I'm still mad.
			我真的冷。		I'm very cold.
			汤姆在吃饭吗？		Is Tom eating?
			严重吗？		Is it serious?
			那是只蝙蝠吗？		Is that a bat?
			这是汤姆的吗？		Is this Tom's?
			这是汤姆的东西吗？		Is this Tom's?
			看起来不错。		It looks good.
			可能会下雨。		It might rain.
			可能要下雨了。		It might rain.
			这需要时间。		It takes time.
			它不会奏效。		It won't work.
			公事公辦。		It's business.
			现在是秋天。		It's fall now.
			它有改善了。		It's improved.
			那是我的钱。		It's my money.
			我請客。		It's my treat.
			不是我的。		It's not mine.
			太早了。		It's so early.
			它太長了。		It's too long.
			它太大聲。		It's too loud.
			它很大。		It's very big.
			确保汤姆安全。		Keep Tom safe.
			保持安静		Keep it quiet.
			讓我看看。		Let me see it.
			让我们回家吧。		Let's go home.
			鎖大門。		Lock the gate.
			爱情是盲目的。		Love is blind.
			恋爱使人盲目。		Love is blind.
			快點。		Make it quick.
			人固有一死。		Man is mortal.
			在那裡見我。		Meet me there.
			我的脚痛。		My foot hurts.
			我头痛。		My head aches.
			我脖子痛。		My neck hurts.
			我的钢笔是新的。		My pen is new.
			决不放弃。		Never give up.
			什么都没动。		Nothing moved.
			量力而行。		Pace yourself.
			戒掉赌博吧。		Quit gambling.
			现在读这个。		Read this now.
			拯救你自己。		Save yourself.
			再见。		See you later.
			和我握手。		Shake my hand.
			我们该步行吗？		Shall we walk?
			她感到闷闷不乐的。		She felt blue.
			她恨他。		She hated him.
			她吃。		She is eating.
			她在节食中。		She's dieting.
			她在节食。		She's dieting.
			她是我的菜。		She's my type.
			给我看下它吧。		Show it to me.
			不要把门开着。		Shut the door.
			请关门。		Shut the door.
			关门。		Shut the door.
			坐我旁边。		Sit beside me.
			講清楚。		Speak clearly.
			搅一下汤。		Stir the soup.
			别再插手。		Stop meddling.
			停止射击。		Stop shooting.
			别担心了。		Stop worrying.
			改邪归正。		Straighten up.
			事情难免会发生。		Stuff happens.
			你隨意。		Suit yourself.
			重新告訴我。		Tell me again.
			还是要说谢谢的。		Thanks anyway.
			太快了。		That was fast.
			好巧妙啊。		That's clever.
			这是我的目的。		That's my aim.
			那是我的猫。		That's my cat.
			那个是我爸爸。		That's my dad.
			很正常。		That's normal.
			铃响了。		The bell rang.
			他们都知道。		They all knew.
			他们在这里。		They are here.
			他们等得了。		They can wait.
			这是个文字游戏。		This is a pun.
			这是假发。		This is a wig.
			这是空的。		This is empty.
			扔掉		Throw it away.
			时间就是金钱。		Time is money.
			今天很有趣。		Today was fun.
			汤姆鼓掌。		Tom applauded.
			汤姆没走。		Tom didn't go.
			汤姆是个乡巴佬。		Tom is a hick.
			汤姆是个无聊的人。		Tom is boring.
			汤姆非常性感。		Tom is so hot.
			汤姆很小气。		Tom is stingy.
			汤姆爱你。		Tom loves you.
			汤姆错过了它。		Tom missed it.
			汤姆睡过头了。		Tom overslept.
			汤姆跑得快。		Tom runs fast.
			汤姆错了。		Tom was wrong.
			汤姆已经结婚了。		Tom's married.
			請稍等。		Wait a moment.
			等一下。		Wait a moment.
			我们都哭了。		We both cried.
			我们必须走了。		We have to go.
			我们保持了沉默。		We kept quiet.
			我们明白。		We understand.
			我们感到厌烦了。		We were bored.
			我们是朋友。		We're friends.
			我们是特别的。		We're special.
			我们很特别。		We're special.
			我们很担心。		We're worried.
			您当时在忙吗？		Were you busy?
			谁爱谁？		Who loved who?
			为什么责备汤姆？		Why blame Tom?
			你能跑。		You could run.
			你气色不错。		You look good.
			你最好去。		You should go.
			你工作努力。		You work hard.
			你在開玩笑吧！		You're joking!
			你不是我。		You're not me.
			你二了。		You're stupid.
			闭上你的嘴。		Zip your lips.
			鸟会飞。		A bird can fly.
			請允許我去。		Allow me to go.
			蘋果是紅的。		Apples are red.
			你害怕吗？		Are you afraid?
			你会来吗？		Are you coming?
			你肚子饿吗？		Are you hungry?
			你是单身吗？		Are you single?
			你不热吗？		Aren't you hot?
			擤擤你的鼻子。		Blow your nose.
			把汤姆带到这里来。		Bring Tom here.
			把它带给我。		Bring it to me.
			给汤姆买一瓶啤酒。		Buy Tom a beer.
			帮我买点零食吧。		Buy me a snack.
			我能看看那个吗？		Can I see that?
			我能坐这里吗？		Can I sit here?
			我要咖啡，谢谢。		Coffee, please.
			你给我下来！		Come down here!
			牛可产奶。		Cows give milk.
			解决他们。		Deal with them.
			您看见它了吗？		Did you see it?
			我看起来很有钱吗？		Do I look rich?
			你想怎么做就怎么做。		Do as you like.
			我们有一个吗？		Do we have one?
			我们认识你么？		Do we know you?
			你讨厌我吗？		Do you hate me?
			你听得见吗？		Do you hear me?
			你了解它吗		Do you know it?
			你认识我吗？		Do you know me?
			你还认识我吗？		Do you know me?
			你爱我吗？		Do you love me?
			你想我了？		Do you miss me?
			你想我吗？		Do you miss me?
			不要吃豬肉。		Don't eat pork.
			把刀放下！		Drop the knife!
			放下那把刀。		Drop the knife.
			每个人都会说谎。		Everybody lies.
			法语很简单。		French is easy.
			上车吧！		Get in the car.
			把她干掉了。		Get rid of her.
			回去睡覺。		Go back to bed.
			下午好。		Good afternoon.
			你該多吃點。		Have some more.
			他提速了。		He accelerated.
			他不说谎。		He doesn't lie.
			他晒不黑。		He doesn't tan.
			他举办了一场舞会。		He gave a ball.
			他是医生来的。		He is a doctor.
			他一个人生活。		He lives alone.
			他独自生活。		He lives alone.
			他看上去很幸福。		He looks happy.
			他看起来很年轻。		He looks young.
			他唱了一首歌。		He sang a song.
			他被淹死了。		He was drowned.
			他是作家。		He's an author.
			多少錢？		How much is it?
			这个几块？		How much is it?
			这个多少钱？		How much is it?
			时间过得多快呀。		How time flies!
			时间过得真快啊！		How time flies!
			生意怎么样？		How's business?
			我不高兴。		I am not happy.
			我今天休息。		I am off today.
			我太矮了。		I am too short.
			我非常高。		I am very tall.
			我吃肉了。		I ate the meat.
			我信过你。		I believed you.
			我相信了你。		I believed you.
			我借錢。		I borrow money.
			我不喜欢鸡蛋。		I dislike eggs.
			我不懂。		I don't get it.
